store_id,date,cash_transactions,card_transactions,total_transactions,amount_cash,amount_card,amount_total,units_sold,has_promotion,day_of_week,region,store_format,is_holiday,is_buen_fin,is_navidad_season,is_payday,amount_cash_lag_1,cash_tx_lag_1,amount_cash_lag_7,cash_tx_lag_7,amount_cash_lag_14,cash_tx_lag_14,amount_cash_roll7_mean,amount_cash_roll7_std,amount_cash_roll7_max,amount_cash_roll28_mean,amount_cash_roll28_std,amount_cash_roll28_max,cash_ratio,days_since_payday,days_until_payday
STR_001,2024-03-01,3244.0,,7380.0,1036293.33,,,,,4,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,754347.06,2755.0,938340.88,3146.0,893559.5957142857,297844.85868140776,1345484.03,871065.7992857143,299088.4308845829,1443742.98,0.4395663956639566,1,14
STR_001,2024-03-02,3244.0,,7380.0,1036293.33,,,,,5,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1194757.83,3956.0,1443742.98,4432.0,933837.6342857142,294931.03858436114,1345484.03,870709.167857143,298877.64886090835,1443742.98,0.4395663956639566,2,13
STR_001,2024-03-03,3244.0,,7380.0,1036293.33,,,,,6,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1345484.03,4223.0,1016506.77,3472.0,911199.8485714284,277109.0160872598,1345484.03,858858.7857142857,284665.9058645318,1443742.98,0.4395663956639566,3,12
STR_001,2024-03-04,3244.0,,7380.0,1036293.33,,,,,0,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,663805.49,2254.0,574712.99,1749.0,867029.7485714286,213746.3783318373,1036293.33,856464.8535714286,282809.70533495705,1443742.98,0.4395663956639566,4,11
STR_001,2024-03-05,3244.0,,7380.0,1036293.33,,,,,1,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,684735.59,2318.0,705922.35,2266.0,920242.2971428572,200688.0327555327,1036293.33,879456.467142857,269553.52044796135,1443742.98,0.4395663956639566,5,10
STR_001,2024-03-06,3244.0,,7380.0,1036293.33,,,,,2,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,575493.84,2001.0,563444.61,1887.0,970464.8314285716,174165.8364007775,1036293.33,896626.0335714285,263398.08947689686,1443742.98,0.4395663956639566,6,9
STR_001,2024-03-07,3244.0,,7380.0,1036293.33,,,,,3,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1036293.33,3244.0,834390.03,2599.0,1036293.33,0.0,1036293.33,908683.4289285716,261723.4250823047,1443742.98,0.4395663956639566,7,8
STR_001,2024-03-08,3244.0,,7380.0,1036293.33,,,,,4,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1036293.33,3244.0,754347.06,2755.0,1036293.33,0.0,1036293.33,922284.4275,257945.03752328,1443742.98,0.4395663956639566,8,7
STR_001,2024-03-09,3244.0,,7380.0,1036293.33,,,,,5,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1036293.33,3244.0,1194757.83,3956.0,1036293.33,0.0,1036293.33,929082.955,258366.44322495,1443742.98,0.4395663956639566,9,6
STR_001,2024-03-10,3244.0,,7380.0,1036293.33,,,,,6,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1036293.33,3244.0,1345484.03,4223.0,1036293.33,0.0,1036293.33,924192.3964285712,254845.92358161783,1443742.98,0.4395663956639566,10,5
STR_001,2024-03-11,3244.0,,7380.0,1036293.33,,,,,0,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1036293.33,3244.0,663805.49,2254.0,1036293.33,0.0,1036293.33,921028.3353571428,252803.6840541797,1443742.98,0.4395663956639566,11,4
STR_001,2024-03-12,3244.0,,7380.0,1036293.33,,,,,1,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1036293.33,3244.0,684735.59,2318.0,1036293.33,0.0,1036293.33,935539.237142857,247075.31505076692,1443742.98,0.4395663956639566,12,3
STR_001,2024-03-13,3244.0,,7380.0,1036293.33,,,,,2,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1036293.33,3244.0,575493.84,2001.0,1036293.33,0.0,1036293.33,957327.26,226544.88205280475,1443742.98,0.4395663956639566,13,2
STR_001,2024-03-14,3244.0,,7380.0,1036293.33,,,,,3,Norte,Supercenter,False,False,False,False,1036293.33,3244.0,1036293.33,3244.0,1036293.33,3244.0,1036293.33,0.0,1036293.33,966781.1857142856,224015.71301167828,1443742.98,0.4395663956639566,14,1
STR_001,2024-03-15,3244.0,,7380.0,1036293.33,,,,,4,Norte,Supercenter,False,False,False,True,1036293.33,3244.0,1036293.33,3244.0,1036293.33,3244.0,1036293.33,0.0,1036293.33,958574.4428571428,216735.64172318595,1443742.98,0.4395663956639566,0,0
